EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_ID,SALARY,COMMISSION_PCT,MANAGER_ID,DEPARTMENT_ID
164,Mattea,Marvins,MMARVINS,011.44.1346.329268,24-Jan-00,SA_REP,21692.88,0.1,147,80
165,David,Lee,DLEE,011.44.1346.529268,23-Feb-00,SA_REP,20482.88,0.1,147,80
166,Sundar,Ande,SANDE,011.44.1346.629268,24-Mar-00,SA_REP,19284.98,0.1,147,80
167,Amit,Banda,ABANDA,011.44.1346.729268,21-Apr-00,SA_REP,18673.93,0.1,147,80
168,Lisa,Ozer,LOZER,011.44.1343.929268,11-Mar-97,SA_REP,34647.14,0.25,148,80
169,Harrison,Bloom,HBLOOM,011.44.1343.829268,23-Mar-98,SA_REP,30125.37,0.2,148,80
170,Tayler,Fox,TFOX,011.44.1343.729268,24-Jan-98,SA_REP,28927.47,0.2,148,80
171,William,Smith,WSMITH,011.44.1343.629268,23-Feb-99,SA_REP,22290.62,0.15,148,80
172,Elizabeth,Bates,EBATES,011.44.1343.529268,24-Mar-99,SA_REP,21997.8,0.15,148,80
173,Sundita,Kumar,SKUMAR,011.44.1343.329268,21-Apr-00,SA_REP,18379.9,0.1,148,80
174,Ellen,Abel,EABEL,011.44.1644.429267,11-May-96,SA_REP,33143.11,0.3,149,80
175,Alyssa,Hutton,AHUTTON,011.44.1644.429266,19-Mar-97,SA_REP,26507.47,0.25,149,80
176,Jonathon,Taylor,JTAYLOR,011.44.1644.429265,24-Mar-98,SA_REP,25908.52,0.2,149,80
177,Jack,Livingston,JLIVINGS,011.44.1644.429264,23-Apr-98,SA_REP,25309.57,0.2,149,80
178,Kimberely,Grant,KGRANT,011.44.1644.429263,24-May-99,SA_REP,18343.6,0.15,149,40
179,Charles,Johnson,CJOHNSON,011.44.1644.429262,4-Jan-00,SA_REP,18673.93,0.1,149,80
180,Winston,Taylor,WTAYLOR,650.507.9876,24-Jan-98,SH_CLERK,8384.09,0.01,120,50
181,Jean,Fleaur,JFLEAUR,650.507.9877,23-Feb-98,SH_CLERK,8127.57,0.01,120,50
182,Martha,Sullivan,MSULLIVA,650.507.9878,21-Jun-99,SH_CLERK,6550.94,0.01,120,50
183,Girard,Geoni,GGEONI,650.507.9879,3-Feb-00,SH_CLERK,7332.6,0.01,120,50
184,Nandita,Sarchand,NSARCHAN,650.509.1876,27-Jan-96,SH_CLERK,10998.9,0.01,121,50
185,Alexis,Bull,ABULL,650.509.2876,20-Feb-97,SH_CLERK,10742.38,0.01,121,50
186,Julia,Dellinger,JDELLING,650.509.3876,24-Jun-98,SH_CLERK,8909.23,0.01,121,50
187,Anthony,Cabrio,ACABRIO,650.509.4876,7-Feb-99,SH_CLERK,7857.74,0.01,121,50
188,Kelly,Chung,KCHUNG,650.505.1876,14-Jun-97,SH_CLERK,9960.72,0.01,122,50
189,Jennifer,Dilly,JDILLY,650.505.2876,13-Aug-97,SH_CLERK,9434.37,0.01,122,50
190,Timothy,Gates,TGATES,650.505.3876,11-Jul-98,SH_CLERK,7601.22,0.01,122,50
191,Randall,Perkins,RPERKINS,650.505.4876,19-Dec-99,SH_CLERK,6550.94,0.01,122,50
192,Sarah,Bell,SBELL,650.501.1876,4-Feb-96,SH_CLERK,10485.86,0.01,123,50
193,Britney,Everett,BEVERETT,650.501.2876,3-Mar-97,SH_CLERK,10217.24,0.01,123,50
194,Samuel,McCain,SMCCAIN,650.501.3876,1-Jul-98,SH_CLERK,8384.09,0.01,123,50
195,Vance,Jones,VJONES,650.501.4876,17-Mar-99,SH_CLERK,7332.6,0.01,123,50
196,Alana,Walsh,AWALSH,650.507.9811,24-Apr-98,SH_CLERK,8127.57,0.01,124,50
197,Kevin,Feeney,KFEENEY,650.507.9822,23-May-98,SH_CLERK,7857.74,0.01,124,50
198,Donald,OConnell,DOCONNEL,650.507.9833,21-Jun-99,SH_CLERK,6807.46,0.01,124,50
199,Douglas,Grant,DGRANT,650.507.9844,13-Jan-00,SH_CLERK,6807.46,0.01,124,50
200,Jennifer,Whalen,JWHALEN,515.123.4444,17-Sep-87,AD_ASST,11524.04,0.01,101,10
201,Michael,Hartstein,MHARTSTE,515.123.5555,17-Feb-96,MK_MAN,34060.29,0.01,100,20
202,Pat,Fay,PFAY,603.123.6666,17-Aug-97,MK_REP,15716.69,0.01,201,20
203,Susan,Mavris,SMAVRIS,515.123.7777,7-Jun-94,HR_REP,17023.49,0.01,101,40
204,Hermann,Baer,HBAER,515.123.8888,7-Jun-94,PR_REP,26201.34,0.01,101,70
205,Shelley,Higgins,SHIGGINS,515.123.8080,7-Jun-94,AC_MGR,97597.39,0.01,101,110
206,William,Gietz,WGIETZ,515.123.8181,7-Jun-94,AC_ACCOUNT,21741.28,0.01,205,110
207,ANGELA,SNYDER,ANGELA,215 253 4737,23-Aug-21,SA_MAN,12000,,,80
208,Mike,Tayler,HBAER1,515.123.4444,17-Sep-87,AD_ASST,9680,0.01,101,10
